,start_time,model,checkpoint,attack,norm,epsilon,targeted,target,loss,end_time,duration,dataset,epe,px1,px3,px5,outlier,own_epe,epe_orig_preds,own_epe_orig_preds,cosim_target,cosim_orig_preds,epe_ground_truth,own_epe_ground_truth,cosim_ground_truth,l2_delta1,l2_delta2,l2_delta12,l0_delta1,l0_delta2,l0_delta12,l_inf_delta1,l_inf_delta2,l_inf_delta12,cosim,iterations,alpha,epe_initial_to_negative,epe_initial_to_zero,own_epe_ground_truth_to_negative,own_epe_ground_truth_to_zero,epe_ground_truth_to_negative,epe_ground_truth_to_zero,optim,boxconstraint,conf_f1,val,name,severity
649,2024-05-15 00:51:18,rpknet,kitti,bim,inf,0.0,True,negative,epe,2024-05-15 01:05:08,00:13:49,kitti-2015,72.82080499053001,0.10248954029277683,0.12968143193277684,0.1572457042556198,87.03184893131257,,1.1508152506500482,,-0.9602753998339176,0.9602753998339176,1.3652058712020516,,0.18205298314802348,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
651,2024-05-15 01:03:30,rpknet,kitti,pgd,inf,0.0,True,zero,epe,2024-05-15 01:16:22,00:12:52,kitti-2015,36.36867930710316,0.11679993503477817,0.17237487360569503,0.22364934295765124,82.76251265525818,,0.9138219439610838,,0.0,0.9641946539282799,1.175640619955957,,0.18235903894528746,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
652,2024-05-15 01:05:30,rpknet,kitti,cospgd,inf,0.0,True,negative,epe,2024-05-15 01:18:20,00:12:49,kitti-2015,73.0883034479618,0.10211345530367907,0.12922642479208662,0.15680666223182926,87.07735345840454,,0.9014020319096744,,-0.9646030512452125,0.9646030512452125,1.1625634874776005,,0.1823873635660857,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
653,2024-05-15 01:07:30,rpknet,kitti,cospgd,inf,0.0,True,zero,epe,2024-05-15 01:19:58,00:12:27,kitti-2015,36.364737288355826,0.11651312533168494,0.17230493186067178,0.22367198195133825,82.76950709342957,,0.9198951400630176,,0.0,0.9636245170235633,1.1684826362878085,,0.18237774022389203,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
654,2024-05-15 01:17:54,rpknet,kitti,bim,inf,0.01,True,negative,epe,2024-05-15 01:30:19,00:12:25,kitti-2015,72.23717532634736,0.10273061801859057,0.13050325300219356,0.15837592690215388,86.94967061042786,,2.013488558549434,,-0.9351665433868765,0.9351665433868765,2.052604450061917,,0.1811038160743192,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
656,2024-05-15 01:19:38,rpknet,kitti,bim,inf,0.01,True,zero,epe,2024-05-15 01:32:31,00:12:53,kitti-2015,35.56525361895561,0.12199459032463893,0.17928578079714497,0.23076707977917976,82.07142182588578,,1.995263088643551,,0.0,0.9367189353704453,1.9998240131884812,,0.18138717904686927,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
658,2024-05-15 01:31:44,rpknet,kitti,pgd,inf,0.01,True,zero,epe,2024-05-15 01:44:06,00:12:22,kitti-2015,35.60934223413467,0.12073349682688786,0.17772311816450384,0.22961751513183118,82.22768789291382,,1.8702235009893775,,0.0,0.9403143706917763,1.9450429230183364,,0.18122461366467177,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
659,2024-05-15 01:31:44,rpknet,kitti,pgd,inf,0.01,True,negative,epe,2024-05-15 01:44:33,00:12:48,kitti-2015,72.45451646566391,0.10252546498279572,0.13043480969262874,0.15820973237707223,86.95649127483368,,1.7743993493169545,,-0.9337012965977192,0.9337012965977192,1.7594703536480665,,0.18135179261211307,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
661,2024-05-15 01:35:46,rpknet,kitti,cospgd,inf,0.01,True,negative,epe,2024-05-15 01:48:23,00:12:36,kitti-2015,72.51689160108566,0.10220896466733392,0.1299741546610312,0.15775209276260285,87.00257871627808,,1.869996554106474,,-0.9396064822375775,0.9396064822375775,1.8962175557762384,,0.18146428453270347,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
2228,2024-05-15 01:43:34,raft,kitti,bim,inf,0.0,True,negative,epe,2024-05-15 01:51:07,00:07:32,kitti-2015,69.03213701844216,0.110099008191346,0.14649917299315804,0.1748484317632574,85.3500826740265,,5.30614995777607,,-0.8390984095932071,0.8390984095932071,4.616292532123626,,0.17323694036807866,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
